market,h,ret,excess,rsi_evict
IN,21,-6.0289811547413645,-4.502824929392247,27.4
IN,63,-21.225317216007213,-15.298080198349064,27.4
IN,21,-10.49649043724643,-6.883743747804882,28.9
IN,63,34.99259450061176,40.74921890946392,28.9
IN,21,4.315589353612181,5.682147956109884,50.1
IN,63,15.703422053231941,25.83997008691916,50.1
IN,21,6.9018404907975395,7.989145189577929,38.4
IN,63,20.552147239263796,30.23071802084157,38.4
IN,21,-12.286212914485173,-8.164007490174107,39.3
IN,63,-10.959860383944164,-0.31353536383782554,39.3
IN,21,-1.175426923929912,0.8281292280716501,39.7
IN,63,15.380350410290532,18.70882373855862,39.7
IN,21,12.97018227794753,14.389043672559122,41.9
IN,63,29.196080497313236,32.54931718245455,41.9
IN,21,7.6484420928865315,7.6484420928865315,43.2
IN,63,58.97707231040563,62.30554563867372,43.2
IN,21,9.251665812403909,9.251665812403909,39.4
IN,63,14.003502477362062,19.8767656461336,39.4
IN,21,7.292271934921546,11.92705970161313,48.8
IN,63,18.516366453612232,22.081966497373863,48.8
IN,21,-2.0035518401868013,4.311814760793453e-06,38.3
IN,63,8.240857936204238,11.569331264472327,38.3
IN,21,7.566172475355137,7.566172475355137,37.5
IN,63,19.88570208802298,21.89978758590564,37.5
IN,21,-2.221358720290134,7.1331716121700985,36.6
IN,63,4.779483194093648,9.8041807430169,36.6
IN,21,-5.702647657841142,-1.067859891149558,40.4
IN,63,1.7515274949083448,5.317127538669975,40.4
IN,21,8.780674846625747,10.89408942765301,46.0
IN,63,-5.674846625766872,3.3137296620117667,46.0
IN,21,19.81081081081082,20.99242887384797,52.8
IN,63,37.07567567567567,40.52000268553747,52.8
IN,21,0.15903492950097853,4.390758987666444,33.5
IN,63,17.204864141502284,20.180219933866315,33.5
IN,21,34.86451436761997,36.28337576223156,32.6
IN,63,40.0109207562624,43.36415744140371,32.6
IN,21,-6.05377720870679,-5.207664041070625,41.0
IN,63,-8.727272727272728,-5.347680800433086,41.0
IN,21,10.4392523364486,10.564534220688136,39.6
IN,63,5.981308411214958,8.556122834974122,39.6
IN,21,4.145255224391908,4.145255224391908,30.8
IN,63,-20.26036313806099,-17.58421065029916,30.8
IN,21,7.477856831711915,7.477856831711915,48.1
IN,63,-15.551038187890232,-9.625212273436045,48.1
IN,21,15.795580110497243,20.43036787718883,34.8
IN,63,5.165745856353587,8.731345900115217,34.8
IN,21,12.725056783557708,12.725056783557708,39.8
IN,63,11.14619688659908,13.160282384481736,39.8
IN,21,3.006691722431021,4.501312022288584,43.6
IN,63,14.510954257952147,19.336422294383084,43.6
IN,21,-0.24286581663630624,-1.0830131654081532,41.9
IN,63,-0.681373541118524,1.4769366246669469,41.9
IN,21,5.863624303528803,7.635673268508636,32.8
IN,63,-0.11276200583707485,4.802434270799772,32.8
IN,21,-0.9512543742914992,-0.5175356528243524,45.9
IN,63,9.551973976046124,11.331834160029286,45.9
IN,21,7.586306237096085,7.586306237096085,46.0
IN,63,2.6311998847649676,5.307352372526797,46.0
IN,21,-4.0000000000000036,-2.619825784441354,44.3
IN,63,5.5911111111111245,10.306002927833358,44.3
IN,21,5.004436557231595,6.186054620268743,43.3
IN,63,3.8198757763975077,7.264202786259311,43.3
IN,21,-6.323869867186538,-4.79771364183742,29.9
